filepath,label
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/annunciation-1405.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/annunciation.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/apostle-paul.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/archangel-gabriel-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/archangel-michael-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/archangel-michael-1414.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/birth-of-christ 1.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/deposition-to-tomb-1427.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/gregory-the-theologian-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/harrowing-of-hell-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/holy-gates-1427.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/lord-s-entry-into-jerusalem-1405.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/mother-of-god-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/presentation-of-jesus-at-the-temple-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/saint-john-the-baptist-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/saint-john-the-evangelist-1408.jpg,01_Byzantin_Iconography
Pandora_18k/01_Byzantin_Iconography/Andrei Rublev/st-john-chrysostom-1408.jpg,01_Byzantin_Iconography
